Provinsi,Tahun,IPM,KMSKN,PMSKN,PEGR,PEGRjw,PE,PADm,TPENDm,BEKOm,BKESm,BPENm
Papua Barat,2019,64.7,21.51,"207,59",6.43,29991,2.66,483.73,11339.76,7139.4,2462.9,10057.6
Papua Barat,2020,65.09,21.7,"215,22",6.80,33501,-0.76,485.37,8519.36,4802.4,1140.4,10177.8
Papua Barat,2021,65.26,21.82,"221,29",5.84,29985,-0.51,483.95,7327.02,26633.1,2512.7,7726.0
Papua Barat,2022,65.89,21.43,"222,36",5.37,27665,2.01,620.30,7764.41,22623.5,2202.0,7279.3
Papua Barat,2023,66.66,20.49,"214,98",5.38,31919,5.18,333.94,3077.99,0.0,0.0,0.0
Papua,2013,56.25,31.53,"1.057,98",3.15,50809,8.55,633.73,8397.16,6710.0,6557.5,10466.5
Papua,2014,56.75,27.8,"864,11",3.44,57676,3.65,944.93,10709.82,8461.1,8268.8,13197.9
Papua,2015,57.25,28.4,"898,21",3.99,69465,7.35,912.91,11805.77,8419.9,9530.3,15702.7
Papua,2016,58.05,28.4,"914,87",3.35,57677,9.14,"1,019.73",12567.84,8004.9,7814.6,6130.3
Papua,2017,59.09,27.76,"910,42",3.62,63770,4.64,"1,020.37",13006.81,6830.2,7034.6,24767.8
Papua,2018,60.06,27.43,"915,22",3.00,55734,7.32,"1,050.37",13489.98,5986.0,8180.6,26203.1
Papua,2019,60.84,26.55,"900,95",3.51,65143,-15.74,"2,027.64",15239.94,7068.1,10518.7,33619.4
Papua,2020,60.44,26.8,"912,23",4.28,75658,2.39,"1,388.51",13030.85,5167.4,9672.8,32030.2
Papua,2021,60.62,27.38,"944,49",3.33,64996,15.16,"2,139.69",13885.92,17834.0,10055.3,14676.4
Papua,2022,61.39,26.8,"936,32",2.83,56330,8.97,"2,226.75",11040.11,31447.6,5954.7,14232.5
Papua,2023,62.25,26.03,"915,15",2.67,67182,4.2,"1,296.10",3270.85,0.0,0.0,0.0
