Negara;Tahun;A;B;C;D;E;F;G;H;I;J;K;L;M
Indonesia;2001;-1,02;-0,46;-1,79;-0,80;-0,50;-0,27;23,2;2,45;6,19;3,64;2,460;2,119;6,082
Indonesia;2002;-1,14;-0,55;-1,58;-0,91;-0,74;-0,27;24,8;2,52;6,38;4,50;2,646;1,981;6,604
Indonesia;2003;-0,98;-0,60;-2,10;-0,86;-0,87;-0,30;26,4;2,61;6,6;4,78;3,218;2,248;6,657
Indonesia;2004;-0,98;-0,49;-1,91;-0,73;-0,74;-0,26;29,7;2,71;6,84;5,03;2,748;2,120;7,303
Indonesia;2005;-0,91;-0,50;-1,52;-0,80;-0,65;-0,12;26,8;2,83;7,14;5,69;2,873;2,532;7,945
Indonesia;2006;-0,86;-0,35;-1,42;-0,69;-0,40;-0,08;29,9;2,94;7,43;5,50;2,959;2,619;7,551
Indonesia;2007;-0,63;-0,31;-1,20;-0,70;-0,39;-0,02;31;3,09;7,8;6,35;3,044;2,824;8,06
Indonesia;2008;-0,64;-0,26;-1,06;-0,67;-0,35;-0,01;32,1;3,23;8,17;6,01;2,902;2,548;7,208
Indonesia;2009;-0,89;-0,33;-0,75;-0,61;-0,31;0,00;38,2;3,34;8,44;4,63;3,525;2,623;6,106
Indonesia;2010;-0,80;-0,27;-0,85;-0,66;-0,38;-0,04;102;3,45;8,85;6,22;2,812;2,791;5,614
Indonesia;2011;-0,76;-0,32;-0,77;-0,60;-0,31;-0,01;111;3,5;9,27;6,17;3,189;2,989;5,153
Indonesia;2012;-0,69;-0,33;-0,59;-0,58;-0,22;0,07;119;1,73;9,71;6,03;3,407;2,914;4,468
Indonesia;2013;-0,66;-0,24;-0,52;-0,53;-0,12;0,04;123;8,99;10,1;5,56;3,359;2,869;4,336
Indonesia;2014;-0,60;-0,07;-0,42;-0,31;-0,01;0,15;130;3,52;10,5;5,01;3,288;2,964;4,049
Indonesia;2015;-0,52;-0,33;-0,62;-0,42;-0,16;0,18;134;5,06;10,9;4,88;3,584;2,924;4,514
Indonesia;2016;-0,46;-0,05;-0,38;-0,34;-0,03;0,17;138;4,13;11,6;5,03;1,210;3,021;4,301
Indonesia;2017;-0,31;-0,02;-0,50;-0,35;0,03;0,13;142;4,46;11,8;5,07;1,053;2,904;3,783
Indonesia;2018;-0,30;0,14;-0,55;-0,31;-0,02;0,16;146;5,36;12,3;5,17;0,994;2,868;4,387
Indonesia;2019;-0,47;0,14;-0,50;-0,35;0,03;0,13;154;4,45;12,8;5,02;0,964;2,879;3,59
Indonesia;2020;-0,45;0,32;-0,46;-0,37;0,22;0,10;159;0,77;12,4;-2,07;1,016;3,421;4,255
Indonesia;2021;-0,45;0,35;-0,53;-0,25;0,29;0,15;164;-4,88;12,8;3,70;1,032;3,706;3,827
Indonesia;2022;-0,44;0,44;-0,55;-0,19;0,21;0,14;151;1,85;13,3;5,31;0,864;3,875;3,462
Indonesia;2023;-0,49;0,58;-0,40;-0,15;0,30;0,14;158;3,54;13,9;5,05;1,275;3,463;3,308
Iran;2000;-0,40;-0,49;-0,73;-0,52;-1,64;-0,93;160;13,3;10,9;5,85;4,031;4,723;11,696
Iran;2001;-0,310;-0,555;-0,750;-0,671;-1,476;-1,004;;8,8;11;2,39;4,072;5,161;12,36
Iran;2002;-0,22;-0,62;-0,77;-0,82;-1,32;-1,08;760;13,5;11,8;8,08;4,485;4,652;12,8
Iran;2003;-0,31;-0,57;-0,78;-0,68;-1,23;-1,25;775;22,7;12,7;8,64;4,363;4,956;11,529
Iran;2004;-0,36;-0,50;-0,76;-0,67;-1,27;-1,23;781;22,4;12,9;4,34;4,297;5,128;10,3
Iran;2005;-0,48;-0,66;-0,78;-0,87;-1,17;-1,28;785;15,6;13,1;3,19;4,057;5,300;11,813
Iran;2006;-0,48;-0,56;-1,04;-0,99;-1,42;-1,50;788;7,6;13,4;5,00;4,290;5,160;11,519
Iran;2007;-0,56;-0,65;-0,93;-1,03;-1,60;-1,55;783;12,7;14,3;8,16;4,597;4,912;10,772
Iran;2008;-0,76;-0,68;-0,94;-0,98;-1,61;-1,57;790;10,3;14,4;0,25;3,914;5,040;10,63
Iran;2009;-0,77;-0,58;-1,56;-1,05;-1,71;-1,58;791;14,3;14,1;1,01;3,842;6,115;12,113
Iran;2010;-0,95;-0,50;-1,63;-1,03;-1,71;-1,61;761;10,2;14,7;5,80;3,709;6,292;13,679
