Kabupaten,Tahun,PDRB,PE(%),TPT(%),Kemiskinan_(P0)_(%),IPM , Anggaran_PAD, Realisasi_PAD, Anggaran_Transf, Realisasi_Transf, Ekonomi, Kesehatan, Pendidikan
Pangkajene Dan Kepulauan,2018,16168.91,4.77,6.91,15.1,67.71,175.94,174.29,1132.67,1096.41,68.82,269.39,413.09
Pangkajene Dan Kepulauan,2019,17205.17,6.41,4.99,14.06,68.29,185.33,185.06,689.19,674.70,71.53,287.49,429.66
Pangkajene Dan Kepulauan,2020,16915.23,-1.69,5.18,13.96,68.72,186.39,196.53,623.35,556.22,47.22,288.50,388.72
Pangkajene Dan Kepulauan,2021,17500.61,3.46,5.86,14.28,69.21,212.75,159.41,638.60,624.01,58.42,294.76,406.43
Pangkajene Dan Kepulauan,2022,18363.59,4.93,5.23,13.92,69.79,205.85,163.60,629.89,624.43,158.79,308.76,418.05
Pangkajene Dan Kepulauan,2023,19236.71,4.75,5.05,13.4,70.59,195.80,176.62,608.55,632.75,214.65,293.12,457.16
Pangkajene Dan Kepulauan,2024,20197.59,5.00,3.99,12.41,71.22,203.44,251.36,606.96,609.42,130.00,379.44,479.19
Pinrang,2015,9677.33,8.24,4.85,8.34,69.24,89.80,97.12,740.54,851.20,111.55,171.27,423.84
Pinrang,2016,10397.11,7.44,4.63,8.48,69.42,93.79,113.04,947.59,1074.30,108.59,228.35,410.94
Pinrang,2017,11212.62,7.84,4.41,8.46,69.9,104.55,118.86,777.02,709.53,114.23,219.04,399.70
Pinrang,2018,11987.44,6.91,3.04,8.81,70.62,98.99,130.65,891.82,880.26,113.63,230.66,398.67
Pinrang,2019,12770.08,6.53,2.91,8.46,71.12,111.41,133.36,986.44,972.00,121.03,243.67,396.82
Pinrang,2020,12826.45,0.44,4.19,8.86,71.26,131.22,131.18,1098.70,929.73,102.54,269.37,399.30
Pinrang,2021,13472.49,5.04,4.06,8.81,71.45,136.39,134.07,1036.94,1006.48,172.92,270.14,384.13
Pinrang,2022,14082.65,4.53,2.79,8.79,71.97,138.72,158.12,1121.09,1094.11,193.59,303.82,373.12
Pinrang,2023,14388.99,2.18,3.64,8.9,72.84,169.40,175.36,1030.80,1047.75,108.99,127.52,141.48
Pinrang,2024,15210.21,5.71,3.12,8.55,73.55,195.44,160.77,1164.92,1104.29,170.87,387.31,458.63
Sidenreng Rappang,2015,6600.92,8.03,6.97,5.55,69,93.00,76.08,656.74,772.75,58.44,160.37,367.70
Sidenreng Rappang,2016,7179.78,8.77,5.07,5.45,69.39,126.57,98.40,1070.94,1022.94,62.48,218.67,357.01
Sidenreng Rappang,2017,7688.83,7.09,3.17,5.32,69.84,122.57,146.03,1146.44,1094.89,59.75,227.21,357.71
Sidenreng Rappang,2018,8075.03,5.02,4.7,5.16,70.6,163.41,115.90,1198.88,983.19,41.00,224.32,344.27
Sidenreng Rappang,2019,8450.69,4.65,4.35,4.79,71.05,140.87,125.73,1028.91,1003.57,55.23,221.45,414.03
Sidenreng Rappang,2020,8401.06,-0.59,5.91,5.05,71.21,144.03,132.95,1025.36,922.72,61.36,231.37,369.51
Sidenreng Rappang,2021,8866.07,5.54,4.93,5.04,71.54,128.76,136.81,986.56,887.88,170.74,269.44,379.69
Sidenreng Rappang,2022,9297.02,4.86,3.56,5.11,72.06,173.73,155.22,954.40,923.12,171.00,261.47,358.12
Sidenreng Rappang,2023,9601.72,3.28,3.29,5.14,72.71,176.65,166.55,937.87,931.62,162.93,263.68,362.56
Sidenreng Rappang,2024,9990.29,4.05,3.02,5.02,73.21,175.06,158.85,977.06,971.33,140.19,308.60,404.53
