Date,Open,High,Low,Close,Adj Close,Volume
"Feb 26, 2024",7277.65,7295.15,7252.29,7283.83,7283.83,147080400.00
"Feb 23, 2024",7326.54,7340.20,7262.11,7295.11,7295.11,146259500.00
"Feb 22, 2024",7334.96,7365.77,7321.53,7339.65,7339.65,154523800.00
"Feb 21, 2024",7345.80,7370.89,7286.68,7349.03,7349.03,152570100.00
"Feb 20, 2024",7320.73,7354.12,7309.51,7352.61,7352.61,129972000.00
"Feb 19, 2024",7323.32,7339.77,7277.55,7296.71,7296.71,151238000.00
"Feb 16, 2024",7337.83,7370.58,7314.89,7335.55,7335.55,146427800.00
"Feb 15, 2024",7337.64,7365.69,7298.49,7303.29,7303.29,184420400.00
"Feb 13, 2024",7301.60,7301.60,7197.84,7209.75,7209.75,128287400.00
"Feb 12, 2024",7268.34,7306.17,7250.32,7297.68,7297.68,178661300.00
"Feb 7, 2024",7264.99,7285.14,7225.46,7235.16,7235.16,138054800.00
"Feb 6, 2024",7230.16,7268.14,7212.15,7247.42,7247.42,138020300.00
"Feb 5, 2024",7237.34,7254.10,7186.18,7198.63,7198.63,137325900.00
"Feb 2, 2024",7221.91,7238.80,7180.37,7238.80,7238.80,114364900.00
"Feb 1, 2024",7221.86,7248.54,7191.70,7201.71,7201.71,157409100.00
"Jan 31, 2024",7213.32,7247.53,7192.65,7207.95,7207.95,170270400.00
"Jan 30, 2024",7147.25,7213.20,7133.62,7192.23,7192.23,182161800.00
"Jan 29, 2024",7147.72,7177.71,7115.05,7157.18,7157.18,160408500.00
"Jan 26, 2024",7152.28,7166.70,7099.09,7137.10,7137.10,140214300.00
"Jan 25, 2024",7215.54,7253.73,7176.12,7178.05,7178.05,130391900.00
"Jan 24, 2024",7255.78,7271.97,7170.31,7227.83,7227.83,128902300.00
"Jan 23, 2024",7232.53,7256.24,7201.84,7256.24,7256.24,132610200.00
"Jan 22, 2024",7233.18,7247.94,7194.96,7247.94,7247.94,141722200.00
"Jan 19, 2024",7271.35,7277.99,7170.82,7227.41,7227.41,137359600.00
"Jan 18, 2024",7198.86,7267.09,7185.39,7252.98,7252.98,158921700.00
"Jan 17, 2024",7248.02,7252.47,7162.49,7200.64,7200.64,202143100.00
"Jan 16, 2024",7231.65,7268.19,7210.04,7242.80,7242.80,130295500.00
"Jan 15, 2024",7254.05,7281.27,7206.32,7224.01,7224.01,132959600.00
"Jan 12, 2024",7242.38,7271.88,7205.77,7241.15,7241.15,152196500.00
"Jan 11, 2024",7253.47,7277.51,7219.97,7219.97,7219.97,190523900.00
"Jan 10, 2024",7187.59,7259.61,7152.89,7227.31,7227.31,152699300.00
"Jan 9, 2024",7299.79,7311.65,7180.17,7200.21,7200.21,152570700.00
"Jan 8, 2024",7362.06,7393.14,7275.18,7283.59,7283.59,140602400.00
"Jan 5, 2024",7376.30,7403.59,7350.63,7350.63,7350.63,163057200.00
"Jan 4, 2024",7290.07,7371.24,7280.42,7359.77,7359.77,155674900.00
"Jan 3, 2024",7316.12,7321.89,7275.88,7279.10,7279.10,159498400.00
"Jan 2, 2024",7268.41,7323.60,7245.58,7323.60,7323.60,121359000.00
"Dec 29, 2023",7307.12,7309.79,7259.69,7272.81,7272.81,123172800.00
"Dec 28, 2023",7266.58,7308.22,7262.26,7303.90,7303.90,123036000.00
"Dec 27, 2023",7256.17,7293.53,7239.67,7245.93,7245.93,124953000.00
"Dec 22, 2023",7225.63,7248.56,7218.18,7237.53,7237.53,111284900.00
"Dec 21, 2023",7222.10,7229.30,7173.02,7209.63,7209.63,144347800.00
"Dec 20, 2023",7207.19,7237.98,7196.25,7219.68,7219.68,142313600.00
